FirstYear,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1977,1.85,0.93,2.31,0.05,0.55,0.0,0.0,0.0,0.96,0.16,2.22,3.33
1978,6.94,4.14,5.9,4.21,0.0,0.0,0.0,0.0,0.19,0.0,1.67,0.91
1979,7.43,5.58,1.95,0.85,0.12,0.0,0.07,0.0,0.02,1.94,3.69,4.12
1980,4.63,6.79,1.73,1.29,0.27,0.02,0.05,0.0,0.0,0.06,0.29,2.09
1981,4.97,2.09,4.73,0.19,0.16,0.0,0.0,0.0,0.03,2.0,5.3,5.11
1982,9.78,3.78,7.54,3.03,0.0,0.06,0.0,0.0,0.72,2.79,5.62,2.22
1983,5.77,8.06,9.04,3.48,0.47,0.0,0.01,0.06,0.68,0.26,8.2,7.72
1984,0.5,2.34,1.32,0.92,0.16,0.3,0.0,0.24,0.1,2.94,7.45,2.1
1985,0.59,1.98,3.94,0.27,0.09,0.31,0.0,0.0,0.38,0.8,4.83,2.47
1986,4.77,8.29,6.25,0.76,0.13,0.0,0.03,0.01,1.32,0.11,0.2,1.64
1987,4.26,3.77,2.31,0.14,0.06,0.01,0.0,0.0,0.0,1.07,3.09,5.09
1988,4.93,0.4,0.07,1.73,0.66,0.7,0.0,0.0,0.0,0.64,3.7,4.23
1989,1.26,1.49,5.28,0.7,0.06,0.07,0.0,0.05,0.98,1.18,1.33,0.0
1990,4.02,2.45,1.34,0.58,2.38,0.01,0.0,0.04,0.12,0.2,0.52,1.94
1991,0.6,3.29,5.89,1.07,0.36,0.05,0.0,0.42,0.0,2.35,0.5,2.32
1992,2.09,6.34,4.41,0.38,0.0,0.39,0.0,0.02,0.0,1.16,0.4,6.03
1993,9.82,4.48,2.9,0.71,0.87,0.27,0.0,0.0,0.0,0.33,2.16,2.25
1994,2.77,4.87,0.35,1.12,1.31,0.06,0.0,0.0,0.22,0.33,10.49,2.69
1995,8.97,0.24,7.88,1.61,0.97,0.62,0.0,0.0,0.0,0.06,0.08,8.13
1996,6.71,5.28,1.28,1.56,1.79,0.0,0.0,0.0,0.04,1.04,4.73,7.63
1997,7.54,0.32,0.58,0.29,0.16,0.3,0.0,0.73,0.04,1.0,6.97,2.77
1998,12.08,14.89,2.54,2.13,3.92,0.15,0.01,0.01,0.09,0.91,4.02,1.42
1999,4.41,7.35,2.34,2.58,0.23,0.12,0.0,0.1,0.59,0.65,2.32,0.62
2000,6.38,8.97,2.04,1.66,1.4,0.16,0.02,0.02,0.21,2.36,0.85,0.9
2001,3.76,7.73,1.58,1.89,0.0,0.15,0.01,0.05,0.18,0.5,5.18,10.75
2002,2.13,2.59,2.27,0.52,0.84,0.01,0.0,0.03,0.01,0.01,2.0,12.03
2003,1.75,1.8,1.71,3.6,0.93,0.0,0.0,0.06,0.0,0.04,2.22,7.69
2004,3.4,5.67,1.16,0.18,0.12,0.0,0.0,0.05,0.04,2.62,2.07,7.98
2005,4.82,5.19,4.67,2.19,1.32,0.92,0.02,0.01,0.0,0.51,2.21,11.17
2006,3.52,2.81,8.74,5.02,0.41,0.0,0.0,0.0,0.0,0.63,3.05,5.31
2007,0.72,4.79,0.52,1.44,0.43,0.0,0.02,0.0,0.09,2.01,0.96,3.04
2008,8.86,1.87,0.33,0.14,0.03,0.0,0.0,0.01,0.0,0.35,2.31,2.82
2009,0.9,7.92,2.76,0.24,0.8,0.0,0.0,0.0,0.28,3.11,0.45,2.77
2010,6.66,3.42,2.79,3.59,0.95,0.07,0.0,0.01,0.02,1.81,3.1,6.71
2011,1.55,4.94,7.02,0.56,1.13,2.02,0.08,0.03,0.0,1.38,1.74,0.14
2012,2.68,1.09,5.7,2.64,0.02,0.14,0.01,0.01,0.0,1.47,4.5,7.11
2013,0.49,0.85,0.97,1.01,0.04,0.15,0.0,0.04,0.39,0.0,1.26,0.39
2014,0.06,5.82,2.95,1.59,0.03,0.01,0.08,0.01,0.55,0.46,2.29,11.7
2015,0.0,1.47,0.12,1.3,0.09,0.12,0.09,0.02,0.09,0.0,1.43,5.18
2016,7.03,0.98,6.83,1.46,0.15,0.0,0.02,0.02,0.0,2.43,2.21,4.39
2017,9.42,7.6,3.9,2.25,0.0,0.1,0.0,0.01,0.1,0.31,2.83,0.15
2018,5.21,0.42,4.54,3.91,0.04,0.01,0.0,0.0,0.0,0.21,3.56,2.18
2019,5.13,7.94,4.33,0.43,1.94,0.0,0.0,0.0,0.12,0.01,1.46,4.91
2020,2.45,0.0,1.44,0.72,0.59,0.0,0.03,0.01,0.0,0.01,0.49,2.07
2021,2.83,1.71,1.62,0.17,0.02,0.01,0.0,0.05,0.07,7.04,1.28,7.84
2022,0.61,0.04,0.48,1.08,0.02,0.23,0.09,0.0,0.34,0.0,1.36,11.6
